营销名Marketing name,项目代码 、Project No.,机型名 Model,版本号Version NO.,适用范围/Region,链接、link
realme C12,206BC,RMX2184,RMX2184export_11_C.13_2022070513430000,、VN,https://rms01.realme.net/SW/realme%20service/realme%20C12/206BC/RMX2184export_11_C.13_2022070513430000.7z
realme C15,206AA,RMX2183,RMX2183export_11_C.16_2022111519230166,、VN,https://rms01.realme.net/sw/RMX2183export_11_C.16_2022111519230166.zip
realme C15,206A8,RMX2180,RMX2180GDPR_11_C.16_2022111519240000,、TR,https://rms01.realme.net/sw/RMX2180GDPR_11_C.16_2022111519240000.zip
realme C15,206A7,RMX2180,RMX2180GDPR_11_C.13_2022070513420000,、RU,https://rms01.realme.net/sw/RMX2180GDPR_11_C.13_2022070513420000.zip
realme C15,206A7,RMX2180,RMX2180GDPR_11_C.12_2022050916010000,"、BY,、UA",https://rms01.realme.net/SW/realme%20service/realme%20C15/206A7/RMX2180GDPR_11_C.12_2022050916010000.zip
realme C15,206A8,RMX2180,RMX2180export_11_C.13_2022070513390000,、KH、PH、MY、TH、ID,https://rms01.realme.net/sw/RMX2180export_11_C.13_2022070513390000.zip
realme C15,206A6,RMX2180,RMX2180export_11_C.13_2022070513370000,、IN、ID、PK、NP、BD、MM、LK,https://rms01.realme.net/sw/RMX2180export_11_C.13_2022070513370000.zip
realme C15,206A8,RMX2180,RMX2180export_11_C.12_2022050916060000,"、KE,、KH,、PH,、MY,、EG",https://rms01.realme.net/SW/realme%20service/realme%20C15/206A8/RMX2180export_11_C.12_2022050916060000.zip
realme 7 Pro,206B2,RMX2170,RMX2170GDPR_11_F.24_2022121316120000,、TR,https://rms01.realme.net/sw/RMX2170GDPR_11_F.24_2022121316120000.zip
realme 7Pro,206B3,RMX2170,RMX2170GDPR_11_F.23_2022110116030000,、UK、IT、ES、FR、DE、SK、GR、BG、BE、芬兰、FI、LU、 CH、CH、CY、丹麦、DN、AT、EU,https://rms01.realme.net/sw/RMX2170GDPR_11_F.23_2022110116030000.zip
realme 7 Pro,206B1,RMX2170,RMX2170export_11_F.24_2022121316160000,、IN、PK、BD、MM,https://rms01.realme.net/sw/RMX2170export_11_F.24_2022121316160000.zip
realme 7Pro,206B3,RMX2170,RMX2170export_11_F.24_2022121316150000,、KZ、RU、MX、BR、IL、ID、AU,https://rms01.realme.net/sw/RMX2170export_11_F.24_2022121316150000.zip
realme 7Pro,206B2,RMX2170,RMX2170export_11_F.24_2022121316130000,、IQ、SA、MA、EG、AE、VN、MY、KH、PH,https://rms01.realme.net/sw/RMX2170export_11_F.24_2022121316130000.zip
reamle 7Pro,206B5,RMX2170,RMX2170export_11_F.24_2022121316110159,、TH,https://rms01.realme.net/sw/RMX2170export_11_F.24_2022121316110159.zip
realme 7Pro,206B3,RMX2170,RMX2170export_11_F.19_2022081118550000,、MX、PE、CO、BR、IL、UZ、ID、AU、KZ,https://rms01.realme.net/sw/RMX2170export_11_F.19_2022081118550000.zip
realme 7Pro,206B2,RMX2170,RMX2170export_11_F.19_2022081118540000,、VN、MY、KH、PH、EG、AE、SA、MA,https://rms01.realme.net/sw/RMX2170export_11_F.19_2022081118540000.zip
realme 7 pro,206B3,RMX2170,RMX2170export_11_C.32_2022060916240000,"、SG,、ID,、RU,、KZ,、UZ,、IS,、PE,智利、CL,、MX,、BR,、CO,、AU",https://rms01.realme.net/SW/realme%20service/realme%207Pro/206B3/RMX2170export_11_C.32_2022060916240000.7z
realme 7 pro,206B2,RMX2170,RMX2170export_11_C.32_2022060916190000,、PH、MY、VN、EG、AE、KH、SA、IR、MA,https://rms01.realme.net/SW/realme%20service/realme%207Pro/206b2/RMX2170export_11_C.32_2022060916190000.7z
realme 7/realme narzo 20 pro,20685,RMX2163,RMX2163export_11_F.11_2022111716240000,、EG、ID、TH、MY,https://rms01.realme.net/sw/RMX2163export_11_F.11_2022111716240000.zip
realme narzo 30,20741,RMX2163T2,RMX2156export_11_F.18_2024041517320100.zip,BD、PK,https://rms01.realme.net/sw/RMX2156export_11_F.18_2024041517320100.zip
realme narzo 30,20743,RMX2163T2,RMX2156export_11_F.18_2024041517300124.zip,MY、RU,https://rms01.realme.net/sw/RMX2156export_11_F.18_2024041517300124.zip
realme narzo 30,20741,RMX2156,RMX2156export_11_F.13_2023030817030149,IN、PK、BD、,https://rms01.realme.net/sw/RMX2156export_11_F.13_2023030817030149.zip
realme 7,2068A,RMX2155,RMX2155GDPR_11_F.11_2022111716280000,、UK、FR、IT、ES、DE、PL、CZ、SK、GR、HU、AT、HR、BG、CY、RO、SI、PT荷兰、NL、BE、LU NO、NO丹麦、DN芬兰、FI、SW、EU,https://rms01.realme.net/sw/RMX2155GDPR_11_F.11_2022111716280000.zip
realme 7,2068A,RMX2155,RMX2155export_11_F.11_2022111716260000,RU,https://rms01.realme.net/sw/RMX2155export_11_F.11_2022111716260000.zip
realme 7,21683,RMX2151,RMX2151GDPR_11_F.12_2023010715470000,、TR,https://rms01.realme.net/sw/RMX2151GDPR_11_F.12_2023010715470000.zip
realme 7,20689,RMX2151,RMX2151GDPR_11_F.11_2022111716220000,、UA、BY,https://rms01.realme.net/sw/RMX2151GDPR_11_F.11_2022111716220000.zip
realme 7,20689,RMX2151,RMX2151GDPR_11_C.16_2022021018200000,、UA,https://rms01.realme.net/SW/realme%20service/realme%207%205G/20689/RMX2151GDPR_11_C.16_2022021018200000.zip
realme 7,20683,RMX2151,RMX2151export_11_F.11_2022111716320000,、VN、PH、MY、SA、KH、AE、IQ、JO,https://rms01.realme.net/sw/RMX2151export_11_F.11_2022111716320000.zip
realme 7,20682,RMX2151,RMX2151export_11_F.11_2022111716300000,、IN、MM、LK、NP、PK,https://rms01.realme.net/sw/RMX2151export_11_F.11_2022111716300000.zip
realme 7,20689,RMX2151,RMX2151export_11_F.11_2022111716230000,、ID、KZ、UZ、CO、BR、MX、CL、PE,https://rms01.realme.net/sw/RMX2151export_11_F.11_2022111716230000.zip
realme 7,20689,RMX2151,RMX2151export_11_F.09_2022101017390000,CL、MX、PE、CO、BR、UZ、ID、KZ,https://rms01.realme.net/sw/RMX2151export_11_F.09_2022101017390000.zip
realme 7,20682,RMX2151,RMX2151export_11_C.19_2022080619540000,、IN、LK、NP、MM、VN、MY、KH、PH、SA、AE、IO、JO,https://rms01.realme.net/sw/RMX2151export_11_C.19_2022080619540000.zip
realme 7,20683,RMX2151,RMX2151export_11_C.19_2022080619470000,、VN、MY、PH、SA、KH、AE、JO,https://rms01.realme.net/sw/RMX2151export_11_C.19_2022080619470000.zip
realme 7,20689,RMX2151,RMX2151export_11_C.17_2022041418180000,、KZ、BR、ID、MX、CL、UZ、CO：,https://rms01.realme.net/SW/realme%20service/realme%207/20689/RMX2151export_11_C.17_2022041418180000.zip
realme X50 5G,20690,RMX2144,RMX2144GDPR_11_C.20_2022070311100000,"、SVN,、ES,、UK,、FR,、IT,、DE,、CZ,、HR,、UA、EU",https://rms01.realme.net/SW/realme%20service/realme%20X50%205G/20690/RMX2144GDPR_11_C.20_2022070311100000.7z
realme X50 5G,20690,RMX2144,RMX2144export_11_C.20_2022070311090145,"、_TH TRUE、H th、true,、_TH DTAC th、dtac,、HK 3HK",https://rms01.realme.net/SW/realme%20service/realme%20X50%205G/20690/RMX2144export_11_C.20_2022070311090145.7z
realme X50 5G,20690,RMX2144,RMX2144export_11_C.19_2022051012100000,"、TH,、HK,、SG,、TW",https://rms01.realme.net/SW/realme%20service/realme%20X50%205G/20690/RMX2144export_11_C.19_2022051012100000.7z
realme X7 Pro 5G,20660,RMX2121,RMX2121export_11_F.28_2025021022050142.zip,TH,https://rms01.realme.net/sw/RMX2121export_11_F.28_2025021022050142.zip
