Model,Support,Variantes,,
Galaxy Note10 5G,Yes,SM-N9760,,
Galaxy Note10 5G,Yes,"SM-N976V, SM-N976B, SM-N976U, SM-N976N, SM-N976Q",,
Galaxy S10,Yes,SM-G9730,,
Galaxy S10,Yes,"SM-G973F, SM-G973U, SM-G973N, SM-G9738, SM-G973W, SM-G973C, SM-G973U1, SC-03L, SCV41",,
Galaxy S10 5G,Yes,"SM-G977B, SM-G977P, SM-G977T, SM-G977N, SM-G977U",,
Galaxy S10,Yes,SM-G9750,,
Galaxy S10,Yes,"SM-G975F, SM-G975FC, SM-G975U, SM-G975UC, SM-G975N, SM-G975NC, SM-G9750C, SM-G9758, SM-G975WC, SM-G975W, SM-G975U2, SM-G975U1, SC-05L, SCV42, SC-04L",,
Galaxy S10e,Yes,"SM-G970F, SM-G970N, SM-G970U, SM-G9708, SM-G970W, SM-G970U1",,
Galaxy S10e,Yes,SM-G9700,,
Galaxy Tab A7,Yes,"SM-T503, SM-T509",,
Galaxy Tab A7,Yes,"SM-T507, SM-T505N, SM-T505C, SM-T500, SM-T505",,
Galaxy Tab Motor,Yes,SM-T260,,
Galaxy Tab S6,Yes,"SM-T865N, SM-T867U, SM-T867R4",,
Galaxy Tab S6,Yes,"SM-T860, SM-T865, SM-T867, SM-T867V",,
Galaxy Tab S6 5G,Yes,SM-T866N,,
W20 5G,Yes,SM-W2020,,
Galaxy Tab Active Pro,Yes,"SM-T545, SM-T540, SM-T547, SM-T547U",,
Galaxy XCover4s,Yes,SM-G398FN,,
Galaxy A10,Yes,"SM-A105N, SM-A105FN, SM-A105F, SM-A105G, SM-A105M",,
Galaxy A10e,Yes,"SCV49, SC-42A, SM-A102N, SM-A102U, SM-A102W, SC-02M, SCV46, SM-A102U1, SM-S102DL",,
Galaxy A20,Yes,"SM-A205FN, SM-A205S, SM-A205YN, SM-A205G, SM-A205GN, SM-A205F, SM-A205U, SM-A205W, SM-A205U1, SM-S205DL",,
Galaxy A20e,Yes,"SM-A202F, SM-A202K",,
Galaxy A30,Yes,"SM-A305FN, SM-A305GT, SM-A305YN, SM-A3058, SM-A3050, SM-A305G, SM-A3051, SM-A305F, SM-A305GN, SM-A305N",,
Galaxy A30s,Yes,"SM-A307FN, SM-A307G, SM-A307GN, SM-A307GT",,
Galaxy A40,Yes,"SM-A405FN, SM-A405FM, SM-A405S",,
Galaxy A50,Yes,"SM-A505GT, SM-A505G, SM-A505GN, SM-A505YN, SM-A505F, SM-A505FM, SM-A505FN, SM-A505U, SM-A505N, SM-A505W, SM-S506DL, SM-A505U1",,
