Model,Firmware Version,Link
OPPO A16k,CPH2349export_11_A.27_2024052119510000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/17/7bffaa8b35f840f0930720b4666656f4.zip
OPPO A16k,CPH2349export_11_A.26_2024030518170150,https://dfs-serverauto-in.allawnofs.com/dfs/24/03/28/77a73ea1327b41b09ee4ae84fc6473c9.zip
OPPO A16e,CPH2421export_11_A.20_2024052710070076,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/27/e2652436f44049f9a288f0748f6bfbeb.zip
OPPO A16e,CPH2421export_11_A.19_2024030612150175,https://dfs-serverauto-in.allawnofs.com/dfs/24/04/01/1b802e65ae76426889e563ef0284db0f.zip
OPPO A16,CPH2269export_11_C.40_2024081320220104,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/30/62740fa7fe984882ac76f9f4fead0478.zip
OPPO A16,CPH2269export_11_C.39_2024053017060000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/02/690d3621d91c457f9e32b6e8e60c45af.zip
OPPO A15s,CPH2179PU_11.A.53_0530_220926,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/45b236a86d6d4da088a5f0750d05d601.zip
OPPO A15s/OPPO A15,CPH2179PU_11.A.53_0530_220926,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/09/45b236a86d6d4da088a5f0750d05d601.zip
OPPO A12,CPH2083EX_11_A.67_220118,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/16/f4fbdd0c64b4456ba2615a535af07f24.zip
OPPO Find X2,CPH2023export_11_13.1.0.597EX01_2024032310340096,https://dfs-serverauto-in.allawnofs.com/dfs/24/04/17/b9471257fbab4e91ae46a1b7743233d0.zip
OPPO Find X2,CPH2023export_11_13.1.0.596EX01_2024021920370000,https://dfs-serverauto-in.allawnofs.com/dfs/24/03/20/d20cb7e933c7405d99ed31aa760b2d26.zip
OPPO Find X,CPH1871EX_11_F.45_210816,https://dfs-serverauto-in.allawnofs.com/dfs/24/04/11/0d574e43200848d09ee508dfdb31c0fe.zip
OPPO Find N3 Flip,CPH2519export_11_14.0.0.810EX01_2024081510260106,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/26/e15bf101efe5465e9b6ebbd5d30baaa8.zip
OPPO Find N3 Flip,CPH2519export_11_14.0.0.801EX01_2024072209590085,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/01/69058890f60a43bc83fc039c73b082fa.zip
OPPO Find N2 Flip,CPH2437export_11_14.0.0.540EX01_2024080718240112,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/26/0f75edb05cd9440cb3990c02e18843f3.zip
OPPO Find N2 Flip,MT6983_13_target_0530,https://dfs-serverauto-in.allawnofs.com/dfs/23/07/13/d4d6670f4f1942378414f8052c7ba7e1.zip
OPPO Find N2 Flip,CPH2437export_11_14.0.0.520EX01_2024071610160099,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/06/fd3150746f7c4723b19f584a2a4315cf.zip
OPPO K3,CPH1955_11_F.14_220420,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/3fc91bea370949c594fda45b5f7a39f5.zip
OPPO K10,CPH2373export_11_F.71_2024070319530000,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/31/f27b8ad4702746a58e19674d5e8ea942
OPPO K10,CPH2373export_11_F.70_2024050720570000,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/31/2a84f70ab3994485bf7daad16ed4954d.zip
OPPO R17 Neo/OPPO K1,CPH1893EX_11_C.44_210702,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/da2eb06384114de098ba6f0301b491e7.zip
OPPO R17 Pro,CPH1877EX_11.F.49_210616_c8d62b94,https://dfs-serverauto-in.allawnofs.com/dfs/24/04/11/bbe393066d304a7ea8a87cb69bf7007d.zip
OPPO R17,CPH1879EX_11.F.16_210607_29d3a63a,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/10/441d414e91ed439d99da6f67aa475121.zip
OPPO Reno8 Z 5G,CPH2455export_11_C.10_2024011216120131,https://dfs-serverauto-in.allawnofs.com/dfs/24/02/05/7a2b25817f014ea5a14169897e0bb40a.zip
OPPO Reno8 T 5G,CPH2505export_11_14.0.0.910EX01_2024070812540091,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/13/7468f0788c7d430d83bc006fafcf8a44.zip
OPPO Reno8 T 5G,CPH2505export_11_14.0.0.700EX01_2024043020440090,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/06/32215ed85a15465a9ca2d5409e17927f.zip
OPPO Reno8 Pro 5G,CPH2357export_11_14.0.0.620EX01_2024071123520089,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/06/412acba664ec46cd94a1cceb5b3064b1.zip
OPPO Reno8 Pro 5G,CPH2357export_11_14.0.0.610EX01_2024060722020084,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/01/2b89e35ef5ce4e41b658ac3e3c103d5d.zip
OPPO Reno8 5G,CPH2359export_11_14.0.0.606EX01_2024080711590105,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/28/b227b4830d2b4ea3afb8e5fae9c89d83.zip
OPPO Reno8 5G,CPH2359export_11_14.0.0.605EX01_2024060617060108,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/01/5df1687ef7b04d839edff0beeb2f0415.zip
OPPO F21 Pro 5G/OPPO Reno7 Z 5G,CPH2341export_11_F.46_2023031717050000,https://dfs-serverauto-in.allawnofs.com/dfs/23/04/04/6b9ff768efe247288e89fd067961c736.zip
OPPO Reno7 Pro 5G,CPH2293export_11_13.1.0.569EX01_2024081415080100,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/27/d170f4c02535488e89e608ac9ac067cb.zip
OPPO Reno7 Pro 5G,CPH2293export_11_13.1.0.568EX01_2024060708540087,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/28/6bc011c56df44f7193ee3cf37b283bbe.zip
OPPO Reno7 5G,CPH2371export_11_13.1.0.611EX01_2024080615120119,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/26/66ba962673c14d80bb1f927b39115630.zip
OPPO Reno7 5G,CPH2371export_11_13.1.0.610EX01_2024060511530000,https://dfs-serverauto-in.allawnofs.com/dfs/24/06/28/ce1559a0d93c41888727b1249a21b590.zip
OPPO Reno6 Pro 5G,CPH2249export_11_13.1.0.569EX01_2024080723100112,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/30/e3cbe9be276d48d4a87fbce147841a0c.zip
OPPO Reno6 Pro 5G,CPH2249export_11_13.1.0.568EX01_2024060720280083,https://dfs-serverauto-in.allawnofs.com/dfs/24/07/09/6a7ee637f83b4a598a4664a135fa9c05.zip
OPPO Reno6 5G,CPH2251export_11_13.1.0.593EX01_2024080519360113,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/30/185243ce01354077a3a4cc254e4c56fd.zip
OPPO Reno6 5G,CPH2251export_11_13.1.0.592EX01_2024050705590000,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/31/b35e08501e334c5786a631283033207a.zip
OPPO Reno5 Pro 5G,CPH2201export_11_13.1.0.600EX01_2023102500130000,https://dfs-serverauto-in.allawnofs.com/dfs/23/11/05/4887749201f340268c778dea02de2d31.zip
OPPO Reno5 Pro 5G,CPH2201export_11_F.47_2023051614220122,https://dfs-serverauto-in.allawnofs.com/dfs/23/05/31/98572f0032ae4530a498d5232e5aa822.zip
OPPO Reno4 Pro,CPH2109export_11_F.60_2023121217110000,https://dfs-serverauto-in.allawnofs.com/dfs/24/01/04/7cb6f9f1d696442f9e49ca833f64951e.zip
OPPO Reno4 Pro,CPH2109export_11_F.59_2023112118580000,https://dfs-serverauto-in.allawnofs.com/dfs/23/12/13/fe09088523a34a6ea08e5249fb164fb9.zip
OPPO Reno3 Pro,CPH2035export_11_F.39_2023121110530103,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/d69994257c6b46bfacd1c1f2c577f777.zip
OPPO Reno3 Pro,CPH2035export_11_F.38_2023081622280106,https://dfs-serverauto-in.allawnofs.com/dfs/24/05/07/dd6b80ea7ef24644974584e31ac1e6d2.zip
OPPO Reno2 Z,CPH1945NV1B_11.F.65_3650_220727,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/528630becbfe44fe9dca16d764d9cbdd.zip
OPPO Reno2 F,CPH1989NV1B_11.F.22_3220_221013,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/12/4773be96b441459b98da685161a42455.zip
OPPO Reno2,CPH1907_11_F.56_210802,https://dfs-serverauto-in.allawnofs.com/dfs/24/08/21/19236856491c4d348a5a9ce3fd74a159.zip
